==============================================================================
==============================================================================
Sun. May. 11 2014                  LANDSAT 5                       Time: 13:15
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101405103993_00002                          Path / Row - 121 / 34
Reference Image: L51HAJ1092317010100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1210343859   37.14445    118.70058     0.21      0.19     0.29     1 
1210343861   37.14343    118.77013    -0.19     -0.06     0.20     1 
1210343864   37.14182    118.87446    -0.15     -0.09     0.17     1 
1210343865   37.14127    118.90923     0.02     -0.12     0.12     1 
1210343883   37.12953    119.53499    -0.03     -0.25     0.25     1 
1210343909   37.12859    117.83061    -0.42     -0.07     0.43     1 
1210343910   37.12834    117.86539    -0.09      0.23     0.25     1 
1210343934   37.11931    118.70001    -0.06      0.05     0.08     1 
1210343936   37.11829    118.76955    -0.08     -0.10     0.13     1 
1210343937   37.11776    118.80431     0.07     -0.03     0.08     1 
1210343939   37.11669    118.87384     0.39     -0.09     0.40     1 
1210343944   37.11381    119.04764     0.20      0.10     0.22     1 
1210343948   37.11133    119.18667    -0.13     -0.04     0.14     1 
1210343962   37.10135    119.67311     0.06     -0.04     0.07     1 
1210343996   37.09978    118.24756    -0.06      0.23     0.23     1 
1210344010   37.09367    118.73421    -0.05      0.17     0.17     1 
1210344012   37.09263    118.80372    -0.02     -0.19     0.19     1 
1210344013   37.09209    118.83847     0.06      0.08     0.10     1 
1210344014   37.09155    118.87322    -0.22     -0.03     0.22     1 
1210344017   37.08986    118.97747    -0.15      0.00     0.15     1 
1210344020   37.08807    119.08171    -0.05      0.00     0.05     1 
1210344031   37.08075    119.46385    -0.10     -0.07     0.13     1 
1210344033   37.07928    119.53331     0.01      0.20     0.20     1 
1210344036   37.07701    119.63750    -0.25     -0.07     0.27     1 
1210344037   37.07623    119.67222    -0.04     -0.15     0.15     1 
1210344083   37.06952    118.66415    -0.12     -0.05     0.13     1 
1210344087   37.06749    118.80312     0.17     -0.07     0.19     1 
1210344091   37.06530    118.94208    -0.03     -0.04     0.05     1 
1210344092   37.06472    118.97682     0.01     -0.05     0.06     1 
1210344093   37.06414    119.01156     0.11     -0.12     0.16     1 
1210344094   37.06354    119.04629    -0.01     -0.00     0.01     1 
1210344095   37.06294    119.08103     0.09      0.04     0.10     1 
1210344096   37.06232    119.11576    -0.07      0.03     0.08     1 
1210344097   37.06170    119.15049    -0.01      0.02     0.02     1 
1210344099   37.06042    119.21995    -0.13     -0.01     0.13     1 
1210344106   37.05562    119.46303     0.05      0.11     0.12     1 
1210344108   37.05416    119.53248    -0.02      0.08     0.09     1 
1210344111   37.05188    119.63663    -0.11     -0.16     0.19     1 
1210344158   37.04438    118.66360    -0.28      0.06     0.29     1 
1210344159   37.04389    118.69833     0.07     -0.01     0.07     1 
1210344169   37.03841    119.04562    -0.02     -0.11     0.12     1 
