==============================================================================
==============================================================================
Wed. Jul. 30 2014                  LANDSAT 5                       Time: 23:08
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101407296728_00001                          Path / Row - 121 / 34
Reference Image: L51HAJ1085329020100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 91.6%
Rank   2 --  8.4%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1210344484   36.92435    119.59653    -0.11      0.12     0.16     1 
1210344548   36.90722    119.21449    -0.09      0.03     0.10     1 
1210344549   36.90657    119.24916    -0.07      0.00     0.07     1 
1210344559   36.89950    119.59569     0.27      0.12     0.29     1 
1210344624   36.88170    119.24842    -0.01      0.04     0.04     1 
1210344634   36.87464    119.59485     0.04     -0.03     0.05     1 
1210344653   36.87631    117.65350    -0.24     -0.48     0.54     2 
1210344701   36.85551    119.31697     0.12     -0.10     0.16     1 
1210344709   36.84979    119.59400     0.01      0.07     0.08     1 
1210344728   36.85143    117.65328    -0.00     -0.18     0.18     1 
1210344729   36.85123    117.68794    -0.01     -0.18     0.18     1 
1210344742   36.84777    118.13847    -0.05      0.26     0.27     1 
1210344743   36.84743    118.17312     0.04      0.12     0.13     1 
1210344816   36.82322    118.10346     0.24      0.03     0.25     1 
1210344858   36.80083    119.55772     0.03      0.13     0.14     1 
1210344932   36.77671    119.52230    -0.11      0.04     0.12     1 
1210344968   36.77281    118.17198    -0.40     -0.18     0.44     1 
1210344969   36.77246    118.20660     0.15      0.05     0.16     1 
1210344990   36.76287    118.93342     0.15     -0.10     0.18     1 
1210345007   36.75185    119.52149     0.15      0.13     0.20     1 
1210345049   36.74571    118.37924     0.02      0.08     0.08     1 
1210345086   36.72399    119.65895     0.07      0.15     0.16     1 
1210345211   36.69043    118.79327     0.26      0.08     0.28     1 
1210345213   36.68937    118.86241    -0.33     -0.02     0.33     1 
1210345233   36.67655    119.55360     0.09      0.12     0.15     1 
1210345290   36.66340    118.93093     0.02      0.26     0.27     1 
1210345293   36.66167    119.03459     0.24      0.28     0.37     1 
1210345294   36.66108    119.06915     0.10      0.44     0.45     1 
----------------------------------------------------------------------
---------------------------------------------------
Total correlated GCPs in Upper Left Quadrant: 40

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 0.094
  Median: 0.066
  Standard Deviation: 0.254

Sample residual statistics:
  Mean: 0.043
  Median: 0.059
  Standard Deviation: 0.218

Quadrant RMSE: 0.350

---------------------------------------------------
Total correlated GCPs in Upper Right Quadrant: 9

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 0.037
  Median: -0.015
  Standard Deviation: 0.191

Sample residual statistics:
  Mean: 0.032
  Median: 0.038
  Standard Deviation: 0.127

Quadrant RMSE: 0.235

---------------------------------------------------
Total correlated GCPs in Lower Left Quadrant: 69

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 0.056
  Median: 0.039
  Standard Deviation: 0.179

Sample residual statistics:
  Mean: 0.001
  Median: 0.039
  Standard Deviation: 0.192

Quadrant RMSE: 0.268

---------------------------------------------------
Total correlated GCPs in Lower Right Quadrant: 60

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 0.019
  Median: 0.037
  Standard Deviation: 0.196

Sample residual statistics:
  Mean: 0.062
  Median: 0.075
  Standard Deviation: 0.196

Quadrant RMSE: 0.285

---------------------------------------------------
---------------------------------------------------
Total correlated GCPs in scene: 178

GCP statistics entire scene (in Pixels)
Line residual statistics:
  Mean: 0.051
  Median: 0.042
  Standard Deviation: 0.206

Sample residual statistics:
  Mean: 0.033
  Median: 0.048
  Standard Deviation: 0.199

Scene RMSE: 0.292

