X,Y,fid,cng_(Meters)
672965.00903492688667,4184234.548219270538539,0,6000
672994.762370925862342,4184238.387359399348497,0,6030
673024.515706924954429,4184242.226499528158456,0,6060
673054.269042923930101,4184246.065639657434076,0,6090
673084.022378923022188,4184249.904779786244035,0,6120
673113.77571492199786,4184253.743919915053993,0,6150
673143.529050920973532,4184257.583060043863952,0,6180
673173.282386920065619,4184261.422200173139572,0,6210
673203.035722919041291,4184265.261340301949531,0,6240
673232.789058918133378,4184269.10048043075949,0,6270
673262.54239491710905,4184272.939620559569448,0,6300
673292.295730916084722,4184276.778760688379407,0,6330
673322.049066915176809,4184280.617900817655027,0,6360
673351.802402914152481,4184284.457040946464986,0,6390
673381.555738913128152,4184288.296181075274944,0,6420
673411.30907491222024,4184292.135321204084903,0,6450
673441.062410911195911,4184295.974461332894862,0,6480
673470.815746910287999,4184299.813601462170482,0,6510
673500.56908290926367,4184303.65274159098044,0,6540
673530.322418908239342,4184307.491881719790399,0,6570
673560.075754907331429,4184311.331021848600358,0,6600
673589.829090906307101,4184315.170161977410316,0,6630
673619.582426905399188,4184319.009302106685936,0,6660
673649.33576290437486,4184322.848442235495895,0,6690
673679.089098903350532,4184326.687582364305854,0,6720
673708.842434902442619,4184330.526722493115813,0,6750
673738.595770901418291,4184334.365862621925771,0,6780
673768.349106900393963,4184338.205002751201391,0,6810
673798.10244289948605,4184342.04414288001135,0,6840
673827.855778898461722,4184345.883283008821309,0,6870
673857.609114897553809,4184349.722423137631267,0,6900
673887.362450896529481,4184353.561563266906887,0,6930
673917.115786895505153,4184357.400703395716846,0,6960
673946.86912289459724,4184361.239843524526805,0,6990
673976.622458893572912,4184365.078983653336763,0,7020
674006.375794892664999,4184368.918123782146722,0,7050
674036.129130891640671,4184372.757263911422342,0,7080
674065.882466890616342,4184376.596404040232301,0,7110
674095.751182770356536,4184376.700038044713438,0,7140
674125.684737505973317,4184374.704467728734016,0,7170
674155.618292241706513,4184372.708897413220257,0,7200
674185.551846977439709,4184370.713327097240835,0,7230
674215.48540171305649,4184368.717756781727076,0,7260
674245.418956448789686,4184366.722186466213316,0,7290
674275.352511184522882,4184364.726616150233895,0,7320
674305.286065920139663,4184362.731045834720135,0,7350
674335.219620655872859,4184360.735475518740714,0,7380
