X, Y
642707.000000,4223997.000000
642737.000000,4223997.000000
642767.000000,4224027.000000
642797.000000,4224057.000000
642827.000000,4224087.000000
642857.000000,4224117.000000
642887.000000,4224147.000000
642917.000000,4224147.000000
642947.000000,4224147.000000
642977.000000,4224147.000000
643007.000000,4224147.000000
643037.000000,4224117.000000
643067.000000,4224117.000000
643067.000000,4224087.000000
643097.000000,4224087.000000
643097.000000,4224057.000000
643127.000000,4224057.000000
643127.000000,4224027.000000
643157.000000,4224027.000000
643157.000000,4223997.000000
643187.000000,4223997.000000
643187.000000,4223967.000000
643217.000000,4223967.000000
643217.000000,4223937.000000
643247.000000,4223937.000000
643247.000000,4223907.000000
643277.000000,4223907.000000
643277.000000,4223877.000000
643307.000000,4223877.000000
643307.000000,4223847.000000
643337.000000,4223847.000000
643337.000000,4223817.000000
643367.000000,4223817.000000
643367.000000,4223787.000000
643397.000000,4223787.000000
643397.000000,4223757.000000
643427.000000,4223757.000000
643427.000000,4223727.000000
643457.000000,4223727.000000
643457.000000,4223697.000000
643487.000000,4223697.000000
643517.000000,4223667.000000
643547.000000,4223667.000000
643577.000000,4223667.000000
643607.000000,4223667.000000
643637.000000,4223667.000000
643667.000000,4223667.000000
643697.000000,4223667.000000
643727.000000,4223667.000000
643757.000000,4223667.000000
643787.000000,4223667.000000
643817.000000,4223667.000000
643847.000000,4223667.000000
643877.000000,4223667.000000
643907.000000,4223667.000000
643937.000000,4223667.000000
643967.000000,4223667.000000
643997.000000,4223667.000000
644027.000000,4223667.000000
644057.000000,4223667.000000
644087.000000,4223667.000000
644117.000000,4223667.000000
644147.000000,4223667.000000
644177.000000,4223667.000000
644207.000000,4223667.000000
644237.000000,4223667.000000
644267.000000,4223667.000000
644297.000000,4223667.000000
644327.000000,4223667.000000
644357.000000,4223667.000000
644387.000000,4223667.000000
644417.000000,4223667.000000
644447.000000,4223667.000000
644477.000000,4223667.000000
644507.000000,4223667.000000
644537.000000,4223637.000000
644567.000000,4223637.000000
644597.000000,4223637.000000
644627.000000,4223637.000000
644657.000000,4223607.000000
644687.000000,4223607.000000
644717.000000,4223607.000000
644747.000000,4223607.000000
644777.000000,4223607.000000
644807.000000,4223607.000000
644837.000000,4223607.000000
644867.000000,4223607.000000
644897.000000,4223607.000000
644927.000000,4223607.000000
644957.000000,4223607.000000
644987.000000,4223607.000000
645017.000000,4223607.000000
645047.000000,4223607.000000
645077.000000,4223607.000000
645107.000000,4223607.000000
645137.000000,4223607.000000
645167.000000,4223607.000000
645197.000000,4223607.000000
645227.000000,4223607.000000
645257.000000,4223607.000000
645287.000000,4223607.000000
645317.000000,4223607.000000
645347.000000,4223607.000000
645377.000000,4223607.000000
645407.000000,4223607.000000
645437.000000,4223607.000000
645467.000000,4223607.000000
645497.000000,4223607.000000
645527.000000,4223607.000000
645557.000000,4223607.000000
645587.000000,4223607.000000
645617.000000,4223607.000000
645647.000000,4223607.000000
645677.000000,4223607.000000
645707.000000,4223607.000000
645737.000000,4223607.000000
645767.000000,4223607.000000
645797.000000,4223607.000000
645827.000000,4223607.000000
645857.000000,4223607.000000
645887.000000,4223607.000000
645917.000000,4223607.000000
645947.000000,4223607.000000
645977.000000,4223637.000000
646007.000000,4223637.000000
646037.000000,4223667.000000
646067.000000,4223697.000000
646097.000000,4223697.000000
646127.000000,4223697.000000
646157.000000,4223697.000000
646187.000000,4223697.000000
646217.000000,4223697.000000
646247.000000,4223697.000000
646277.000000,4223697.000000
646307.000000,4223697.000000
646337.000000,4223697.000000
646367.000000,4223697.000000
646397.000000,4223697.000000
646427.000000,4223697.000000
646457.000000,4223697.000000
646487.000000,4223697.000000
646517.000000,4223697.000000
646547.000000,4223697.000000
646577.000000,4223697.000000
646607.000000,4223697.000000
646637.000000,4223697.000000
646667.000000,4223697.000000
646697.000000,4223697.000000
646727.000000,4223697.000000
646757.000000,4223697.000000
646787.000000,4223697.000000
646817.000000,4223697.000000
646847.000000,4223697.000000
646877.000000,4223697.000000
646907.000000,4223697.000000
646937.000000,4223697.000000
646967.000000,4223697.000000
646997.000000,4223697.000000
647027.000000,4223697.000000
647057.000000,4223697.000000
647087.000000,4223697.000000
647117.000000,4223697.000000
647147.000000,4223697.000000
647177.000000,4223697.000000
